id,label
0.jpg,0
1.jpg,1
2.jpg,1
3.jpg,1
4.jpg,0
5.jpg,0
6.jpg,1
7.jpg,1
8.jpg,0
9.jpg,1
10.jpg,1
11.jpg,1
12.jpg,0
13.jpg,1
14.jpg,0
15.jpg,1
16.jpg,0
17.jpg,1
18.jpg,1
19.jpg,1
20.jpg,1
21.jpg,1
22.jpg,1
23.jpg,1
24.jpg,1
25.jpg,1
26.jpg,1
27.jpg,0
28.jpg,1
29.jpg,0
30.jpg,0
31.jpg,0
32.jpg,1
33.jpg,1
34.jpg,0
35.jpg,0
36.jpg,1
37.jpg,1
38.jpg,1
39.jpg,0
40.jpg,1
41.jpg,0
42.jpg,0
43.jpg,0
44.jpg,1
45.jpg,0
46.jpg,1
47.jpg,1
48.jpg,0
49.jpg,1
50.jpg,1
51.jpg,0
52.jpg,1
53.jpg,1
54.jpg,0
55.jpg,1
56.jpg,0
57.jpg,1
58.jpg,0
59.jpg,1
60.jpg,1
61.jpg,0
62.jpg,0
63.jpg,1
64.jpg,1
65.jpg,0
66.jpg,0
67.jpg,0
68.jpg,1
69.jpg,1
70.jpg,1
71.jpg,1
72.jpg,1
73.jpg,1
74.jpg,0
75.jpg,1
76.jpg,0
77.jpg,0
78.jpg,0
79.jpg,1
80.jpg,0
81.jpg,1
82.jpg,1
83.jpg,0
84.jpg,1
85.jpg,0
86.jpg,1
87.jpg,1
88.jpg,1
89.jpg,1
90.jpg,1
91.jpg,0
92.jpg,1
93.jpg,0
94.jpg,0
95.jpg,1
96.jpg,1
97.jpg,1
98.jpg,1
99.jpg,0
100.jpg,0
101.jpg,1
102.jpg,0
103.jpg,0
104.jpg,1
105.jpg,0
106.jpg,0
107.jpg,1
108.jpg,1
109.jpg,0
110.jpg,1
111.jpg,0
112.jpg,1
113.jpg,0
114.jpg,0
115.jpg,1
116.jpg,0
117.jpg,0
118.jpg,1
119.jpg,0
120.jpg,1
121.jpg,1
122.jpg,0
123.jpg,0
124.jpg,0
